Firas Syahdian Hutauruk;Sidoarjo;non.vestibulum@sedorci.ca;0863-3284-3329;22;67;SMP;174;60
Anton Primanelza;Sidoarjo;sem.magna@fuscealiquam.org;0847-0351-4875;21;58;SMA/SMK;165;64
Haris Anjani;Jombang;orci@molestieorci.ca;0824-3938-2722;24;85;SMA/SMK;169;55
Mario Kurniansyah;Mojokerto;id.enim@pedepraesent.com;0867-7254-8671;24;93;SMP;162;70
Andi Setiawan;Lamongan;purus.accumsan@quamvel.org;0874-3832-7628;21;100;SMA/SMK;162;58
Ridhwan Rustam;Gresik;non@magnisdis.org;0871-1105-8471;21;68;SMP;169;57
Fauzan Kartikasari;Bangkalan;dolor.sit.amet@pedeet.net;0877-3033-9416;21;79;D3;173;70
Adityo Munikasari;Gresik;quam@ultricesiaculisodio.net;0822-5385-1678;22;93;SMA/SMK;162;60
Gilang Aryanti;Lamongan;tellus.nunc.lectus@pedesuspendissedui.co.uk;0825-9342-8214;24;62;SMP;162;57
Achmad Teddo Cardinata;Gresik;et.eros@diamduismi.com;0802-7968-9037;24;95;D3;162;66
Taufik Rumanti;Surabaya;nam@nullamsuscipit.edu;0811-4800-2411;19;94;SMA/SMK;167;58
Pratama Abelardo;Mojokerto;dolor@etmagnis.ca;0875-1964-7453;21;78;SMA/SMK;165;66
Muhamad Rahmasari;Lamongan;sociis.natoque@vitaediamproin.co.uk;0882-6660-4554;19;70;S1;160;61
Firdaus Varensia;Mojokerto;vel.arcu@euismodmauris.edu;0857-7289-1789;24;62;SMA/SMK;167;68
Fandy Elvin Selenia;Lamongan;adipiscing.lobortis.risus@eueros.net;0862-5347-7855;20;70;D3;167;58
Revi Rizka Noordien;Sidoarjo;sit@semegestas.edu;0834-8032-9769;19;66;SMA/SMK;163;55
Aggil Manar;Gresik;tortor@posuere.ca;0822-4735-0816;22;70;D3;169;62
Bony Marvina;Lamongan;et@nequesedeget.edu;0805-4615-1173;22;77;SMA/SMK;173;66
Arfan Wiratmansyah;Mojokerto;at.lacus.quisque@a.edu;0890-6268-4046;20;99;SMA/SMK;161;67
